2		8:38	10:35	1:57		
3		12:14	2:20	2:06		4:03
3		8:16	9:20	1:04		5:07
4		9:50	9:56	1:06		6:13
5		10:50	1:39	2:49		7:02
5		2:28	6:47	4:19		11:21
6		11:17	5:27	6:10		17:31
7		11:43	1:11	1:28		18:59
7		3:04	5:45	2:41		21:40
8		9:18	10:21	1:03		22:43
8		8:51	9:15	0:24		23:07
10		5:05	5:46	0:41		23:48
12		12:06	6:47	6:41		30:29
13		11:38	6:50	7:23		37:52
